Event(47)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(47), startTime=360, timeWindow=1140 +  || P: 0 Source: null]
Event(48)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(48), startTime=360, timeWindow=1110 +  || P: 0 Source: null]
Event(49)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(49), startTime=360, timeWindow=1140 +  || P: 0 Source: null]
Event(52)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(52), startTime=360, timeWindow=1125 +  || P: 0 Source: null]
Event(53)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(53), startTime=360, timeWindow=1080 +  || P: 0 Source: null]
Event(55)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(55), startTime=360, timeWindow=1155 +  || P: 0 Source: null]
Event(56)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(56), startTime=360, timeWindow=525 +  || P: 0 Source: null]
Event(57)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(57), startTime=360, timeWindow=1140 +  || P: 0 Source: null]
Event(58)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(58), startTime=360, timeWindow=480 +  || P: 0 Source: null]
Event(62)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(62), startTime=360, timeWindow=540 +  || P: 0 Source: null]
Event(63)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(63), startTime=360, timeWindow=540 +  || P: 0 Source: null]
Event(66)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(66), startTime=360, timeWindow=525 +  || P: 0 Source: null]
Event(68)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(68), startTime=360, timeWindow=1110 +  || P: 0 Source: null]
Event(69)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(69), startTime=360, timeWindow=540 +  || P: 0 Source: null]
